Year,Sales,GDP,Unemployment,Crude oil,Popu Density,Copper Price,Inflation Rate(%)
1996,46457,387.3848632,2.5,20.42,920.93,2294.86,2.38
1997,32283,395.3180524,2.7,19.17,937.54,2276.77,5.31
1998,32481,401.9651801,2.9,13.06,955.29,1654.06,8.40
1999,31503,404.4861431,3.1,18.07,973.76,1572.86,6.11
2000,28764,413.1001853,3.3,28.23,992.50,1813.47,2.21
2001,42510,410.0485409,3.6,24.35,1011.53,1578.29,2.01
2002,54877,407.9629676,3.9,24.93,1030.50,1559.48,3.33
2003,59248,440.7144048,4.3,28.9,1048.65,1779.14,5.67
2004,49202,469.1164584,4.3,37.73,1066.22,2865.88,7.59
2005,65878,492.8086489,4.3,53.39,1082.53,3678.88,7.05
2006,80305,503.5383322,3.6,64.29,1095.71,6722.13,6.77
2007,121272,552.3389345,4.1,71.12,1107.29,7118.23,9.11
2008,144419,630.1089792,4.5,96.99,1117.16,6955.88,8.90
2009,145243,698.5209416,5,61.76,1127.04,5149.74,5.42
2010,190858,776.8595769,3.4,79.04,1139.98,7534.78,8.13
2011,188036,856.3818868,3.8,104.01,1153.96,8828.19,11.40
2012,161761,876.8180068,4.1,105.01,1168.40,7962.35,6.22
2013,136213,973.7739002,4.4,104.08,1183.30,7332.1,7.53
2014,159988,1108.514957,4.4,96.24,1198.14,6863.4,6.99
2015,307941,1236.004398,4.4,50.75,1212.49,5510.46,6.19
2016,397964,1659.962489,4.3,42.81,1227.51,4867.9,5.51
2017,419333,1815.610191,4.4,52.81,1242.94,6169.94,5.70
2018,495182,1963.412707,4.4,68.35,1257.46,6529.8,5.54
2019,497432,2122.078386,4.4,61.41,1271.54,6010.15,5.59
2020,377660,2233.305893,5.2,41.26,1286.17,6173.77,5.69
2021,445030,2457.924049,5.1,69.07,1301.04,9317.05,5.55
2022,578151,2688.30395,4.7,97.1,,8822.37,7.70
